4.317505366827869118e+00,4.335203948060948775e+00,4.357800409208890002e+00,4.392298798104500079e+00,4.316392320347380185e+00,4.363535770715891715e+00,4.377231902982607004e+00,4.371095789709246837e+00,4.381151127316512017e+00
7.997758722948320909e+00,7.940620218708912326e+00,8.013510218090120318e+00,8.114279003147059299e+00,7.908379286271153497e+00,8.027781961996236504e+00,7.946522391460743684e+00,7.983565869475024002e+00,7.964874366638741598e+00
1.214562560756315079e+01,1.221260860637155687e+01,1.228339507374869832e+01,1.220925450405328583e+01,1.217322901657859013e+01,1.219511549545444495e+01,1.227188471473726494e+01,1.230488040924184290e+01,1.238576213370429002e+01
1.565028328310812888e+01,1.566306652095996732e+01,1.572880978761886794e+01,1.562534811008606184e+01,1.558123771610733499e+01,1.561156961763186679e+01,1.559216556482525107e+01,1.554013027557675386e+01,1.551279302686990391e+01
1.906783775029145644e+01,1.891165578351308696e+01,1.910617707596055936e+01,1.895248747419365642e+01,1.892292867035932957e+01,1.891953412271171686e+01,1.893489285568062286e+01,1.884083042269995900e+01,1.884373245644052730e+01
4.751533589066471386e+00,4.776949136502063098e+00,4.770971954658783432e+00,4.791790519247857816e+00,4.778982614091471071e+00,4.816478849251166316e+00,4.821904545287151400e+00,4.794004018273900769e+00,4.759848174392862674e+00
9.159195445069997277e+00,9.153382928012032238e+00,9.020890284833217976e+00,9.289711651852616825e+00,9.255841400182792000e+00,9.036783148292776957e+00,9.106642337977486790e+00,9.320768867263259594e+00,8.988082427358202509e+00
1.375361741964714746e+01,1.388575861707703041e+01,1.356846279240793329e+01,1.381133182922322433e+01,1.396813681310781341e+01,1.375589779015838943e+01,1.371110792596459227e+01,1.395397990187017001e+01,1.359124392959032335e+01
1.700684881961613115e+01,1.737657681476101246e+01,1.727971437212019623e+01,1.737975664133646703e+01,1.752483683878495668e+01,1.735060915580226748e+01,1.735784949656322596e+01,1.751650424730759070e+01,1.732718624292683174e+01
2.063634594588265969e+01,2.085317916479198175e+01,2.081225910253854394e+01,2.051690737224812011e+01,2.105179695347771229e+01,2.079256048738449181e+01,2.065836594666572523e+01,2.091957719372846825e+01,2.078579676744113769e+01
